espanol,quechua_texto,tipo_habla,nivel_formalidad,tema
"Doctor, siento que todo me da vueltas y pierdo el equilibrio","Doktur llapallan muyunmi hina rikch'akun, hinaspa equilibrioyta chinkashan",desconocido,desconocido,desconocido
Tengo temblores en el cuerpo y me siento muy débil,Aychaypi ch'iqchiyuqmi Kana hinaspa Anchata pisi Kallpayuqmi kani,desconocido,desconocido,desconocido
Me siento confundido y con dificultad para concentrarme,"Yuyayniqa pantaychasqami kashan, mana allinta yuyayman churakuyta atishanichu",desconocido,desconocido,desconocido
"Doctor, tengo náuseas constantes y he vomitado varias veces","Doktur Sapa kuti millay onqoyniyuqmi kani,askha kutita q'ipiykuni",desconocido,desconocido,desconocido
Siento que me falta el aire incluso cuando estoy en reposo,"Samayniyqa pisi kanman hina yuyaymi kani, samashaqtipas",desconocido,desconocido,desconocido
Tengo palpitaciones fuertes que me asustan mucho,"Sonqoymi  sinchita takin ,chaymi anchata mancharichiwan",desconocido,desconocido,desconocido
"Doctor, me siento ansioso y con miedo sin razón aparente","Doktur, imay raykucha hukman mancharisqan kashani.",desconocido,desconocido,desconocido
Tengo problemas para dormir y me despierto muchas veces en la noche,"Sasatan puñuyta atini, tutatakmi sapa kuti rikcharini",desconocido,desconocido,desconocido
Me siento hinchado y pesado después de cada comida,Sapa mijuktiymi p'unkisqa llasasqa wiksay kan.,desconocido,desconocido,desconocido
"Doctor, he perdido el apetito completamente en las últimas semanas","Doktur, manan mijunayawanchu kay qepa semanakunapi",desconocido,desconocido,desconocido
Siento que mi corazón late muy rápido o se salta latidos,Sonqoypas kuyurin supayta otaq phawan kuyurispa,desconocido,desconocido,desconocido
"Doctor, tengo mucha tos con flema amarilla desde hace una semana","Doktur, huk semanañan supay qellu flemayoj ujuyan kani.",desconocido,desconocido,desconocido
Me falta el aire cuando subo escaleras o hago esfuerzos pequeños,"Escalerata seqaytimi mana samayniyuq kani, otaq kallpachakuni chikanta.",desconocido,desconocido,desconocido
Tengo tos seca que me irrita mucho la garganta,"Ch'aki ujuwanmi kani, tonqorniytaq q'arawan supayta.",desconocido,desconocido,desconocido
"Doctor, respiro con dificultad y escucho silbidos en mi pecho","Doktur, sasatan samayniy lloksimun, hinataq qasqoypis silvarin.",desconocido,desconocido,desconocido
Tengo congestión nasal severa que no me deja respirar bien,"Senqaypi qoña hunt'ayuq kani, chaymi hark'awashan allinta samayta.",desconocido,desconocido,desconocido
Me duele el pecho cuando toso y la tos es muy persistente,"Qasqoymi nanawan ujuktiy, ujuypas sinchi mana tukukuq.",desconocido,desconocido,desconocido
"Doctor, toso sangre en pequeñas cantidades y estoy muy preocupado","Doktur, pisi yawarta ujushani chaymi ancha llakisqa kashani.",desconocido,desconocido,desconocido
Tengo mucha flema que no puedo expulsar fácilmente,Achka flemayukmi kani manataqmi chaytaqa qarkuyta atinichu.,desconocido,desconocido,desconocido
Siento opresión en el pecho y dificultad para respirar hondo,"Qasqoymi ñit'ywan, chaytaqmi sasatan samaytapas atini.",desconocido,desconocido,desconocido
"Doctor, tengo tos que empeora por las noches y no me deja dormir","Doktur,ujuwanmi kani chaymi tuta ashwanta yapakun mana puñuchiwaspa.",desconocido,desconocido,desconocido
Me ahogo fácilmente y tengo que parar constantemente para respirar,"Faciltan samayniy chinkapun, samanaypaqtaqmi sayani sapa kutilla",desconocido,desconocido,desconocido
Tengo la nariz tapada y dolor en los pómulos y frente,"Senqaymi wichqasqa, uyaypas mat'iypas nanawanmi.",desconocido,desconocido,desconocido
"Doctor, escucho ruidos raros cuando respiro profundo","Doktur, allinta samaykuqtiymi mana riqsisqa qapariykunata uyarini.",desconocido,desconocido,desconocido
Tengo secreción nasal verde y mal olor en la nariz,Qomer qoña  senqaypi kan chaytaqmi millayta asnan.,desconocido,desconocido,desconocido
Me cuesta mucho respirar cuando estoy acostado,Puñuspa kaspayqa anchatan kallpachakuni samykunaypaq,desconocido,desconocido,desconocido
"Doctor, tengo diarrea desde hace tres días y me siento muy débil","Doktur, kimsa p'unchayñan q'echawan kashani, mana kallpaypas kanñachu.",desconocido,desconocido,desconocido
Sufro de estreñimiento severo y me duele cuando voy al baño,Ñisuta ñaqarini akakunaypaq chaytaq nanawan hisp'akuy riktiy.,desconocido,desconocido,desconocido
Tengo acidez estomacal que sube hasta la garganta,"Wiksa nanayniyuqmi kani, chaymi kunkaykama wicharin.",desconocido,desconocido,desconocido
"Doctor, vomito todo lo que como y tengo el estómago revuelto","Doktur, llapa mijusqaytan kutichimuni, chaymi wiksaypas tiqrakun.",desconocido,desconocido,desconocido
Tengo gases excesivos y hinchazón abdominal muy molesta,"Wiksaymi p'unkin ñisuta, supinayawanmi anchata.",desconocido,desconocido,desconocido
Me sale sangre cuando voy al baño y estoy muy preocupado,"Hisp'aq riqtiymi, yawar lloqsimun, chaymi ancha llakisqa kashani.",desconocido,desconocido,desconocido
"Doctor, tengo náuseas constantes especialmente por las mañanas","Doktur, sapa achijaymi sonqomuyuywan kani.",desconocido,desconocido,desconocido
Siento que la comida se me queda atorada en el pecho,"Mijuna mijusqaymi, qasqoy uhullapi tarikun.",desconocido,desconocido,desconocido
Tengo mucha sed todo el tiempo y la boca muy seca,"Anchatan ch'akiwan sapakuti, chaymantapas simiy ch'akillaña",desconocido,desconocido,desconocido
"Doctor, he notado que mis heces son muy oscuras o negras","Doktur, hatun hispayta ruwaqtiymi , ñisu yanallaña lloqsimun",desconocido,desconocido,desconocido
Tengo cólicos intestinales muy fuertes que aparecen de repente,Sinchitan ch'unchilniykuna nanan nanan qonqayllamanta rijurin,desconocido,desconocido,desconocido
Me duele el estómago y tengo eructos constantes con mal sabor,"wiksaymi nanawan, qapapakuni asnallataña sapa kuti.",desconocido,desconocido,desconocido
"Doctor, tengo la lengua blanca y mal aliento persistente","Doktur, qalluypas yuraqllañan asnallañataq",desconocido,desconocido,desconocido
Siento ardor en la boca del estómago después de cada comida,Wiqsay q'uchupin sinchita rup'an sapa mijuyta tukuqtiy,desconocido,desconocido,desconocido
Tengo dificultad para tragar incluso líquidos,Sasatan  millp'uni unutapis,desconocido,desconocido,desconocido
"Doctor, he perdido mucho peso sin hacer dieta ni ejercicio","Doktur, sinchitan tulluyaruni, allintan mijuchanipas.",desconocido,desconocido,desconocido
Tengo reflujo ácido que me quema la garganta por las noches,"Hayaqniytan kutichini sapa tuta, chaymi tonqoriyta q'arachin",desconocido,desconocido,desconocido
Siento náuseas cuando huelo ciertos alimentos,Sonqoymi muyun wakin mijunakunawan,desconocido,desconocido,desconocido
"Doctor, tengo hipo frecuente que dura mucho tiempo","Doktur, sinchitan hiq'ipakuni mana tukukuq hina",desconocido,desconocido,desconocido
Tengo inflamación abdominal que empeora durante el día,Wiksaymi ñisuta p'unkin tukuy p'unchay,desconocido,desconocido,desconocido
"Doctor, me salió un sarpullido rojo que me pica muchísimo","Doktur, puka granoskunan lloqsiruwan, chaymi sinchita seqsiwan",desconocido,desconocido,desconocido
Tengo manchas en la piel que han ido creciendo de tamaño,"Qara muru lloqsiruwan, chaymi wiñaykushan",desconocido,desconocido,desconocido
Me salen ronchas por todo el cuerpo que aparecen y desaparecen,"Granuskunan lloqsiruwan llapa cuerpuypi, chinkaruntaq rijurimuntaq",desconocido,desconocido,desconocido
"Doctor, tengo la piel muy seca y agrietada en las manos","Doktur, ch'akillaña cuerpuypas, makiypas p'aspallana, .",desconocido,desconocido,desconocido
Tengo una herida que no cicatriza y se ve infectada,"Qirin kashan mana chinkaq, hinaspapas infectakuchanmi",desconocido,desconocido,desconocido
Me pica todo el cuerpo especialmente por las noches,Sapa tutantan cuerpuy seqsen,desconocido,desconocido,desconocido
"Doctor, tengo ampollas en los pies que me duelen mucho","Doktur, chakiykunapi phusullukuna kashan, anchatan nanawan",desconocido,desconocido,desconocido
Noto cambios en un lunar que me preocupan bastante,"Huk lunarniypin tikrakuykunatan reparani,chaymi anchata llakikuni.",desconocido,desconocido,desconocido
Tengo hongos en las uñas de los pies que no se curan,"Chaki silluykunapin k'allanpakuna kashan, manataqmi qaliyanchu",desconocido,desconocido,desconocido
"Doctor, me sale pus de una herida y está muy inflamada","Doktur, huk k'iriymi  ñisu p'unkiskqa, q'eataqmi lloqsimushan.",desconocido,desconocido,desconocido
¿Puedo seguir amamantando a mi bebé con este tratamiento?,Kay hampiwan wawayta ñuñuchiytaqa atiniychu?,desconocido,desconocido,desconocido
¿Cuándo debo regresar para la próxima consulta?,Hayk’aqmi kutimunay kachkan hamuq tapukuypaq?,desconocido,desconocido,desconocido
"Doctor, ¿qué tan grave es mi condición realmente?","Doktur, imaynatan kashan unquyniyqa, ancha chanikuychu?",desconocido,desconocido,desconocido
¿Puedo hacer ejercicio o debo guardar reposo absoluto?,Ejerciciota ruwasaqchu utaq llapan samaypi kakunaychu?,desconocido,desconocido,desconocido
¿Este problema puede volverse crónico o se cura completamente?,Kay sasachakuyqa unay unaypaqchu tukukunman utaq allintachu hampikun?,desconocido,desconocido,desconocido
"Doctor, ¿hay alguna forma de prevenir que esto vuelva a pasar?","Doktur, kanchu imayna mana kutimunanpaq kayqa?",desconocido,desconocido,desconocido
¿Necesito hacerme más análisis o exámenes complementarios?,Astawan análisis utaq qhawaykuna ruwanaypaqchu kani?,desconocido,desconocido,desconocido
¿Puedo viajar a la sierra con este problema que tengo?,Kay unquywanqa sierraman risaqchu?,desconocido,desconocido,desconocido
"Doctor, ¿cuánto va a costar todo el tratamiento aproximadamente?","Doktur, llapan hampiyqa hayk’a qullqichu kanqa?",desconocido,desconocido,desconocido
¿Hay algún remedio casero que pueda usar como complemento?,Kanachu wasipi ruwasqa hampi yanapananpaq?,desconocido,desconocido,desconocido
¿Debo cambiar algo en mi estilo de vida?,Kawsayniypi imatapas tikranaychu?,desconocido,desconocido,desconocido
"Doctor, ¿esto afectará mi capacidad de tener hijos en el futuro?","Doktur, kayqa wawata hap’iy atiyniyta hamuq p’unchaykunapi hark’anmanchu?",desconocido,desconocido,desconocido
¿Puedo combinar este medicamento con mis otras pastillas?,Kay hampita wakin pastillaykunawan kuskachaspa upyayta atiniychu?,desconocido,desconocido,desconocido
¿Qué debo hacer si los síntomas empeoran en casa?,Wasipi kashaspa ashwanta nanariptinqa imatan ruwanay?,desconocido,desconocido,desconocido
"Doctor, ¿necesito que alguien me cuide en casa?","Doktur, wasipi pipas qhawawananchu?",desconocido,desconocido,desconocido
"Según sus síntomas, usted tiene una infección respiratoria aguda","Unquyniykikunamantaqa, qanqa sinchi samay ñanpi infecciónniyuqmi kanki.",desconocido,desconocido,desconocido
Los resultados indican que tiene los niveles de azúcar muy elevados,Resultadosqa rikuchkanmi yawarniykipi asukarniyqa ancha wicharisqa kasqanta.,desconocido,desconocido,desconocido
Su presión arterial está muy alta y necesitamos controlarla urgentemente,"Yawar ñit’iyniykiqa ancha wichaypi kashan, utqaylla controlananchikmi.",desconocido,desconocido,desconocido
Tiene una gastritis severa que requiere tratamiento inmediato,"Sinchi wiksa q’uchu unquywanmi kanki, utqaylla hampinanchikmi.",desconocido,desconocido,desconocido
Los análisis muestran que tiene anemia y necesita suplementos de hierro,"Análisisqa rikuchkanmi anemiawan kasqaykita, fierro hampikuna necesitanki.",desconocido,desconocido,desconocido
Usted presenta signos de una infección urinaria que debe tratarse,Ismutay ñanpi infección señalkunata rikuchkanki.,desconocido,desconocido,desconocido
Su dolor de cabeza parece ser de tipo tensional por estrés,Umananaykiqa estrésmanta hina kashan.,desconocido,desconocido,desconocido
Tiene una inflamación en las articulaciones compatible con artritis,Tulluy tinkunakunapi p’unkayqa artritisman rikch’akun.,desconocido,desconocido,desconocido
Los síntomas indican que podría tener cálculos en la vesícula,Vesículaykipi rumi hina rumikuna kanman.,desconocido,desconocido,desconocido
Usted tiene una bronquitis que requiere antibióticos y reposo,"Bronquitisniyuqmi kanki, antibiótico hampiwan samaywanmi alliyanki.",desconocido,desconocido,desconocido
Su nivel de colesterol está muy elevado y debemos bajarlo,Colesterolniykiqa ancha wicharisqa kashan.,desconocido,desconocido,desconocido
Tiene una dermatitis alérgica causada por contacto con alguna sustancia,Alergia qara unquywanmi kanki.,desconocido,desconocido,desconocido
Los resultados sugieren que tiene problemas de tiroides,Tiroides glandulaykipi sasachakuy kan.,desconocido,desconocido,desconocido
Usted presenta signos de deshidratación severa por la diarrea,Q’echa unquymanta ancha ch’akiywanmi kanki.,desconocido,desconocido,desconocido
Tiene una contractura muscular en la espalda que causa el dolor,Wasapi aycha sinchi churakusqa kashan.,desconocido,desconocido,desconocido
Sus síntomas son compatibles con un cuadro de migraña crónica,Unay uman unquywanmi kanki.,desconocido,desconocido,desconocido
Usted tiene una infección en la garganta causada por bacterias,Kunkaykipi bacteria infecciónniyuqmi kanki.,desconocido,desconocido,desconocido
Los estudios muestran que tiene un problema en el hígado,Hígadoniypi sasachakuy kan.,desconocido,desconocido,desconocido
Tiene una inflamación en el estómago por exceso de ácido,Wiksaykipi ácido rayku p’unkay kan.,desconocido,desconocido,desconocido
Su corazón está funcionando con un ritmo irregular que debemos corregir,Sonqoyki mana kuska takishan.,desconocido,desconocido,desconocido
Debe tomar este medicamento cada ocho horas durante siete días completos,"Kay hampita sapa pusaq horapi, qanchis p’unchaykama upyay.",desconocido,desconocido,desconocido
Es importante que tome las pastillas con alimentos para proteger su estómago,Mikhunawan kuska upyay.,desconocido,desconocido,desconocido
Necesita guardar reposo absoluto en cama durante al menos tres días,Kimsa p’unchay cama samaypi kakuy.,desconocido,desconocido,desconocido
"Debe beber abundante agua, por lo menos dos litros diarios",Sapa p’unchay achka unuta upyay.,desconocido,desconocido,desconocido
Le voy a recetar un antibiótico que debe completar aunque se sienta mejor,Alliyaspapas antibióticota tukuchanaykikama upyay.,desconocido,desconocido,desconocido
Necesita aplicarse compresas de agua tibia en la zona afectada,Q’uñi unu llamp’uta churay nanayman.,desconocido,desconocido,desconocido
"Debe evitar comidas grasosas, picantes y condimentadas por completo","Wira, k’allu mikhunata ama mikhuychu.",desconocido,desconocido,desconocido
Es fundamental que regrese en una semana para evaluar su progreso,Huk semanaman kutimuy.,desconocido,desconocido,desconocido
Debe tomar este jarabe tres veces al día antes de cada comida,Jarabeta kimsa kuti p’unchaypi upyay.,desconocido,desconocido,desconocido
Necesita hacerse estos análisis de sangre lo más pronto posible,Utqaylla yawar análisis ruwachikuy.,desconocido,desconocido,desconocido
Debe suspender inmediatamente el consumo de alcohol y tabaco,Suspenda alcohol y tabaco,desconocido,desconocido,desconocido
Le recomiendo que use esta pomada dos veces al día sobre la piel limpia,Pomadata iskay kuti p’unchaypi churay.,desconocido,desconocido,desconocido
Necesita elevar la pierna y mantenerla en reposo con hielo,Chakita wichaypi churay hinaspa rit’ita churay.,desconocido,desconocido,desconocido
Debe comer alimentos ricos en fibra y aumentar el consumo de frutas,"Fibra, rurukunata astawan mikhuy.",desconocido,desconocido,desconocido
Es necesario que se inyecte esta ampolla intramuscular cada día,Kay ampollata sapa p’unchay inyectachikuy.,desconocido,desconocido,desconocido
"Señor, debe controlar su presión todas las mañanas y llevar un registro","Wiraqocha, sapa paqarinmi yawarniykita qhawanayki, registrotataq apanayki.",desconocido,desconocido,desconocido
"Doctor, tengo mucha tos y me duele el pecho","Doktur, sinchitan uhu hapiwan qasqoita nanawan.",desconocido,desconocido,desconocido
"Señora, le voy a dar una dieta especial que debe seguir estrictamente","Señora, huk dieta especialta qosqayki, chaytan allinta qatikunayki.",desconocido,desconocido,desconocido
"Doctor, me siento muy débil y sin energía","Doktur, ancha pisi kallpayoqmi tariquni, manataqmi valorniy kanchu.",desconocido,desconocido,desconocido
"Señor, necesita inhalar este medicamento cada cuatro horas para respirar mejor","Wiraqocha, kay hampitan muchkinayki sapa tawa horasmantam samanayki, samainiyki allim k'anampaq",desconocido,desconocido,desconocido
"Doctor, me salieron ronchas en todo el cuerpo","Doktur, tukuy cuerpoypin colmenas onqoyniyoq kani.",desconocido,desconocido,desconocido
"Señora, debe evitar el sol","Señora, intimanta paqanunayki",desconocido,desconocido,desconocido
"Doctor, tengo fiebre desde hace tres días","Doktur, kimsa punchawñam fiebrewan kachkani.",desconocido,desconocido,desconocido
"Señor, es importante que venga a sus controles mensuales sin falta","Wiraqocha, allinmi sapa killa citaikiman mana pantaspa hamunayki.",desconocido,desconocido,desconocido
"Doctor, me duele la cabeza todo el tiempo","Doktur, umayqa sapa kutim nanawan.",desconocido,desconocido,desconocido
"Señora, debe tomar este medicamento en ayunas con un vaso lleno de agua","Señora, kay hampitaqa ch’usaq wiksallapi huk hunt’a vasopi unuwan ujanayki.",desconocido,desconocido,desconocido
"Doctor, no puedo dormir bien por las noches","Doktur, tuta manam allintachu puñuyta atini.",desconocido,desconocido,desconocido
"Señor, necesita descansar el cuello por varios días","Wiracocha, askha p’unchay kunkaykita samachinayki.",desconocido,desconocido,desconocido
"Doctor, me duele mucho la espalda baja","Doktur, wasaypa urayninmi anchata nanawan.",desconocido,desconocido,desconocido
"Señora, debe lavar la herida con agua y jabón tres veces al día","Señora, maillinaiki kimsa qutita k'irita jabonwan y unuwan",desconocido,desconocido,desconocido
"Doctor, tengo ganas de vomitar","Doktur, noqa munani aqtuyokuyta",desconocido,desconocido,desconocido
"Señor, es importante que complete todo el tratamiento","Wiracocha, allim llapan hampiyta tukunayki",desconocido,desconocido,desconocido
"Doctor, me cuesta respirar cuando camino","Doktur, purispay samayniy sasachakuni.",desconocido,desconocido,desconocido
"Señora, debe evitar hacer esfuerzos físicos o levantar cosas pesadas","Señora, ama kallpachakunaykichu nitaq llasa kaqkunata hoqarinaykichu.",desconocido,desconocido,desconocido
"Doctor, tengo hinchados los pies y las manos","Doktur, chakiykuna y makiykuna punkisqa.",desconocido,desconocido,desconocido
"Señor, vamos a necesitar una radiografía para ver sus pulmones","Wiracocha, necesitani radiografíata pulmonniyki qhawanapaq.",desconocido,desconocido,desconocido
"Doctor, me duele mucho al orinar","Doktur, hispaqtiy nishuta nanawan.",desconocido,desconocido,desconocido
"Señora, le voy a pedir análisis completos de sangre y orina","Señora, mañasaiki analisis  yawarmanta y hispaimanta.",desconocido,desconocido,desconocido
"Doctor, tengo mucha comezón en la piel","Doktur, qaraypim anchata secsewan.",desconocido,desconocido,desconocido
"Señor, necesitamos hacerle un ultrasonido de abdomen para revisar sus órganos","Señor, wiksamanta ultrasonidota ruwananchismi órganoykikunata qhawarinapaq.",desconocido,desconocido,desconocido
"Doctor, me siento mareado cuando me levanto","Doktur, sayarispaymi umay muyukun.",desconocido,desconocido,desconocido
"Señora, voy a medirle la temperatura","Señora, temperaturata tupusaq.",desconocido,desconocido,desconocido
"Doctor, tengo un bulto en el cuello que me preocupa","Doktur, kunkaypi huk k'ompo kachkan llakichiwan.",desconocido,desconocido,desconocido
"Señor, le voy a examinar la garganta con este instrumento","Señor, kay instrumentowanmi kunkaykita qhawarisaq.",desconocido,desconocido,desconocido
"Doctor, me duele el estómago después de comer","Doktur, mikusqaymanta wiksa nanawan.",desconocido,desconocido,desconocido
"Señora, necesitamos hacerle un examen del corazón para ver cómo está","Señora, necesitanni examenta ruwayta imaiynas sonqoyki kashan",desconocido,desconocido,desconocido
"Doctor, tengo mucho ardor en el pecho","Doktur, nishutan q'aran q'asqoypi.",desconocido,desconocido,desconocido
"Señor, voy a tocar su abdomen para detectar cualquier inflamación","Señor, wiksaykita sientesaq ima punkipas kananmanta qhawanaypaq.",desconocido,desconocido,desconocido
"Doctor, me sangra la nariz seguido","Doktur, sapa kutim yawar senkaymanta lluqsimun.",desconocido,desconocido,desconocido
"Señora, le voy a escuchar los pulmones con el estetoscopio","Señora, estetoscopiowanmi pulmonniykita uyarisaq.",desconocido,desconocido,desconocido
"Doctor, tengo diarrea hace una semana","Doktur, huk semanañan q'echa onqoywan kashani.",desconocido,desconocido,desconocido
"Señor, necesitamos una muestra de flema para analizarla en el laboratorio","Señor, necesitanchismi muestra de flema nisqa analisis de laboratorio nisqapaq.",desconocido,desconocido,desconocido
"Doctor, me duelen mucho las articulaciones","Doktur, articulacionkunam anchata nanawan.",desconocido,desconocido,desconocido
"Señora, voy a revisar su ojo","Señora, ñawiykita qawasaq",desconocido,desconocido,desconocido
"Doctor, tengo mucha sed todo el día","Doktur, noqata ch'aqiwan  kunan unchay nishuta",desconocido,desconocido,desconocido
"Señor, le voy a sacar una muestra de sangre del dedo para medir su azúcar","Señor, dedoykimanta yawarta hurqusaq azúcarniyki tupunaypaq.",desconocido,desconocido,desconocido
"Doctor, me siento muy ansioso últimamente","Doktur, kay watakunapim anchata llakikuni.",desconocido,desconocido,desconocido
"Señora, necesito hacerle un examen de estómago por dentro","Señora, wiksayki ukhunta qhawarinayku .",desconocido,desconocido,desconocido
"Doctor, me zumban los oídos constantemente","Doktur, rinriyqa sapa kutim wanwan.",desconocido,desconocido,desconocido
"Señora, voy a examinar sus oídos con el instrumento","Señora, chay instrumentowanmi rinriykita qawasaq.",desconocido,desconocido,desconocido
"Doctor, me duele el pecho cuando hago ejercicio","Doktur, ejercishuta ruwaqtiy qhasqu nanawan.",desconocido,desconocido,desconocido
"Señora, respire profundo mientras escucho su espalda","Señora, wasaikita uyarisaq samay profunduta.",desconocido,desconocido,desconocido
"Doctor, me canso mucho al subir las escaleras","Doktur, escaleraman seqaspay  sayk’uni.",desconocido,desconocido,desconocido
"Señor, necesitamos hacerle una prueba de estrés para revisar su corazón","Wiraqocha, prueba de estrés nisqatan qawanayku sonqoykita qhawarinaykupaq.",desconocido,desconocido,desconocido
"Señora, debe venir en dos semanas para ver cómo va","Señora, iskay semanamantam haykumunayki qawachikunaykipaq saludniyquita",desconocido,desconocido,desconocido
¿Tiene fiebre?,¿Ruphayuqchu kanki?,dialogo_medico,formal,sintomas
Me duele la cabeza,Umay nanan,dialogo_medico,formal,sintomas
Tengo tos,Uqhaywanmi kani,dialogo_medico,formal,sintomas
¿Es alérgico?,¿Alergiyayuqchu kanki?,dialogo_medico,formal,diagnostico
Tome esta pastilla,Kay pastillata upyay,instruccion,formal,medicacion
Vuelva mañana,Paqarin kutimuy,instruccion,formal,seguimiento
¿Ha comido?,¿Mikhurankichu?,dialogo_medico,formal,sintomas
Me mareo,Muyuywanmi kani,dialogo_medico,formal,sintomas
Es una gripe,Gripe-mi,dialogo_medico,formal,diagnostico
Repose en casa,Wasipi samay,instruccion,formal,tratamiento
¿Le duele aquí?,¿Kaypi nananchu?,dialogo_medico,formal,sintomas
Tengo náuseas,Millanaywanmi kani,dialogo_medico,formal,sintomas
Beba agua,Yakuta upyay,instruccion,formal,tratamiento
¿Fuma?,¿Sigarruta apankichu?,dialogo_medico,formal,prevencion
Es grave,Sinchi-mi,dialogo_medico,formal,diagnostico
Me duele el pecho,Sunquy nanan,dialogo_medico,formal,sintomas
Tome el jarabe,Kay jarabeta upyay,instruccion,formal,medicacion
¿Está embarazada?,¿Wawayuqchu kanki?,dialogo_medico,formal,diagnostico
No coma grasa,Wirata ama mikhuychu,instruccion,formal,tratamiento
Tengo diarrea,Q'echuywanmi kani,dialogo_medico,formal,sintomas
¿Ha dormido bien?,¿Allin puñurankichu?,dialogo_medico,formal,sintomas
Es leve,Pisillam,dialogo_medico,formal,diagnostico
Póngase la vacuna,Kay vacunata churakuy,instruccion,formal,vacunacion
Me pica la piel,Qaraymi k'itiywanmi kani,dialogo_medico,formal,sintomas
Venga con resultados,Resultadokunawan hamuy,instruccion,formal,seguimiento
¿Tiene diabetes?,¿Diabetesniyuqchu kanki?,dialogo_medico,formal,diagnostico
Tengo frío,Chiriywanmi kani,dialogo_medico,formal,sintomas
Lávese las manos,Makiykikunata mayllakuy,instruccion,formal,prevencion
¿Cuántos años tiene?,¿Hayka watayuq kanki?,dialogo_medico,formal,diagnostico
Es contagioso,Rikhuchikuqmi,dialogo_medico,formal,diagnostico
No tome alcohol,Alkoholta ama upyaychu,instruccion,formal,tratamiento
Me duele la garganta,Kunkay nanan,dialogo_medico,formal,sintomas
Use mascarilla,Mascarillata churay,instruccion,formal,prevencion
¿Es la primera vez?,¿Kayqa ñawpaq kutichu?,dialogo_medico,formal,diagnostico
Tengo sueño,Puñunaywanmi kani,dialogo_medico,formal,sintomas
Acuéstese aquí,Kaypi siriy,instruccion,formal,diagnostico
Es normal,Allinmi,dialogo_medico,formal,diagnostico
Tengo calor,Ruphaywanmi kani,dialogo_medico,formal,sintomas
Pase adelante,Ñawpaqman yaykuy,instruccion,formal,dialogo_medico
¿Toma medicinas?,¿Hampikunata upyankichu?,dialogo_medico,formal,medicacion
Me duele el estómago,Wiksay nanan,dialogo_medico,formal,sintomas
Respire profundo,Hatun samiyta samay,instruccion,formal,diagnostico
Es una infección,Infeksyonmi,dialogo_medico,formal,diagnostico
Tengo comezón,K'itiywanmi kani,dialogo_medico,formal,sintomas
Quédese en casa,Wasipi qhipakuy,instruccion,formal,tratamiento
¿Tiene seguro?,¿Seguruyuqchu kanki?,dialogo_medico,formal,diagnostico
Abra la boca,Simita kichay,instruccion,formal,diagnostico
Me siento débil,Pisi kallpayuqmi kani,dialogo_medico,formal,sintomas
Espere aquí,Kaypi suyay,instruccion,formal,dialogo_medico
Gracias doctor,Añay doctor,dialogo_medico,formal,dialogo_medico
¿Te operaron?,¿Operarasurqankichu?,pregunta,formal,cirugía
Mi cara está hinchada,Uyyay punthisqa kashan,descriptivo,formal,síntomas
Toma agua de muña.,Muña unuta ukyay,instrucción,formal,medicina_tradicional
Tengo un bulto en el cuello,Kunkaypi ch'upu kashan,descriptivo,formal,síntomas
¿Sientes el sabor?,¿Misk'ita malliykunkichu?,pregunta,formal,síntomas
Me duelen los riñones,Rurunykuna nanawan,descriptivo,formal,síntomas
Camina despacio,Allillamanta puriy,instrucción,formal,movilidad
Su barriga está dura,Wijsan k'ullu kashan,descriptivo,formal,pediatría
¿Sangra tu nariz?,¿Senqayki yawarhamunchu?,pregunta,formal,síntomas
Me pican los ojos,Ñawiy siqiwan,descriptivo,formal,síntomas
Descansa en lo oscuro,Laq'ayaypi samay,instrucción,formal,tratamiento
Me duele al tragar,Millp'uptiy nanawan,descriptivo,formal,síntomas
¿Tomaste algún mate?,¿Mateta ukyarqankichu?,pregunta,formal,antecedentes
Mis manos hormiguean,Makiy susunwayan,descriptivo,formal,síntomas
No comas sal,Ama kachita mikhuychu,instrucción,formal,tratamiento
¿Tu herida tiene pus?,¿K'iriyki q'iyayuqchu?,pregunta,formal,síntomas
Me golpeé la cintura,Weqawniyta p'anqakurquni,descriptivo,formal,accidentes
Toma esto cada mañana,Sapa paqarin kayta ukyay,instrucción,formal,tratamiento
¿Zumban tus oídos?,¿Ninriyki rururunniku?,pregunta,formal,síntomas
Veo borroso,Laq'ayata rikhuni,descriptivo,formal,síntomas
Sécate bien,Allinta ch'akichikuy,instrucción,formal,higiene
¿Quieres comer?,¿Mikhuyta munankichu?,pregunta,formal,síntomas
Me duele el talón,Tayquymi nanawan,descriptivo,formal,síntomas
Tápate bien,Allinta q'uñichikuy,instrucción,formal,prevención
¿Orina oscura?,¿Hisp'ayniyki yanachu?,pregunta,formal,síntomas
Me falta aire,Samayniy pisiwan,descriptivo,formal,síntomas
Ponte esta pomada,Kay llunp'ita churakuy,instrucción,formal,tratamiento
¿Pies fríos?,¿Chakiyki chirishasunki?,pregunta,formal,síntomas
Me duele la espalda baja,Wasa urayniy nanawan,descriptivo,formal,síntomas
Come más quinua,Kinwata mikhuy,instrucción,formal,nutrición
Todo da vueltas,Tukuy muyun,descriptivo,formal,síntomas
Lava tu herida,K'iriykita maylliy,instrucción,formal,tratamiento
¿Pecho silba?,¿Qhasquyki khuyuqchu?,pregunta,formal,síntomas
No muevo mi brazo,Marq'ayta mana kuyuchinichu,descriptivo,formal,movilidad
Toma esto antes de dormir,Manaraq puñushaspa ukyay,instrucción,formal,tratamiento
